verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
13941,Psalms 1:1,Psalms,19,1,1,145,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful."
13942,Psalms 1:2,Psalms,19,1,2,91,But his delight is in the law of the LORD; and in his law doth he meditate day and night.
13943,Psalms 1:3,Psalms,19,1,3,177,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper."
13944,Psalms 1:4,Psalms,19,1,4,77,The ungodly are not so: but are like the chaff which the wind driveth away.
13945,Psalms 1:5,Psalms,19,1,5,106,"Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous."
13946,Psalms 1:6,Psalms,19,1,6,89,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.
13947,Psalms 2:1,Psalms,19,2,1,63,"Why do the heathen rage, and the people imagine a vain thing?"
13948,Psalms 2:2,Psalms,19,2,2,130,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,"
13949,Psalms 2:3,Psalms,19,2,3,70,"Let us break their bands asunder, and cast away their cords from us."
13950,Psalms 2:4,Psalms,19,2,4,83,He that sitteth in the heavens shall laugh: the LORD shall have them in derision.
13951,Psalms 2:5,Psalms,19,2,5,83,"Then shall he speak unto them in his wrath, and vex them in his sore displeasure."
13952,Psalms 2:6,Psalms,19,2,6,51,Yet have I set my king upon my holy hill of Zion.
13953,Psalms 2:7,Psalms,19,2,7,104,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee."
13954,Psalms 2:8,Psalms,19,2,8,126,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession."
13955,Psalms 2:9,Psalms,19,2,9,98,Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.
13956,Psalms 2:10,Psalms,19,2,10,75,"Be wise now therefore, O ye kings: be instructed, ye judges of the earth."
13957,Psalms 2:11,Psalms,19,2,11,55,"Serve the LORD with fear, and rejoice with trembling."
13958,Psalms 2:12,Psalms,19,2,12,151,"Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him."
13959,Psalms 3:1,Psalms,19,3,1,86,"Lord, how are they increased that trouble me! many are they that rise up against me."
13960,Psalms 3:2,Psalms,19,3,2,77,"Many there be which say of my soul, There is no help for him in God. Selah."
13961,Psalms 3:3,Psalms,19,3,3,82,"But thou, O LORD, art a shield for me; my glory, and the lifter up of mine head."
13962,Psalms 3:4,Psalms,19,3,4,83,"I cried unto the LORD with my voice, and he heard me out of his holy hill. Selah."
13963,Psalms 3:5,Psalms,19,3,5,64,I laid me down and slept; I awaked; for the LORD sustained me.
13964,Psalms 3:6,Psalms,19,3,6,99,"I will not be afraid of ten thousands of people, that have set themselves against me round about."
13965,Psalms 3:7,Psalms,19,3,7,138,"Arise, O LORD; save me, O my God: for thou hast smitten all mine enemies upon the cheek bone; thou hast broken the teeth of the ungodly."
13966,Psalms 3:8,Psalms,19,3,8,76,Salvation belongeth unto the LORD: thy blessing is upon thy people. Selah.
13967,Psalms 4:1,Psalms,19,4,1,135,"Hear me when I call, O God of my righteousness: thou hast enlarged me when I was in distress; have mercy upon me, and hear my prayer."
13968,Psalms 4:2,Psalms,19,4,2,123,"O ye sons of men, how long will ye turn my glory into shame? how long will ye love vanity, and seek after leasing? Selah."
13969,Psalms 4:3,Psalms,19,4,3,111,But know that the LORD hath set apart him that is godly for himself: the LORD will hear when I call unto him.
13970,Psalms 4:4,Psalms,19,4,4,92,"Stand in awe, and sin not: commune with your own heart upon your bed, and be still. Selah."
13971,Psalms 4:5,Psalms,19,4,5,72,"Offer the sacrifices of righteousness, and put your trust in the LORD."
13972,Psalms 4:6,Psalms,19,4,6,109,"There be many that say, Who will shew us any good? LORD, lift thou up the light of thy countenance upon us."
13973,Psalms 4:7,Psalms,19,4,7,101,"Thou hast put gladness in my heart, more than in the time that their corn and their wine increased."
13974,Psalms 4:8,Psalms,19,4,8,94,"I will both lay me down in peace, and sleep: for thou, LORD, only makest me dwell in safety."
13975,Psalms 5:1,Psalms,19,5,1,55,"Give ear to my words, O LORD, consider my meditation."
13976,Psalms 5:2,Psalms,19,5,2,83,"Hearken unto the voice of my cry, my King, and my God: for unto thee will I pray."
13977,Psalms 5:3,Psalms,19,5,3,118,"My voice shalt thou hear in the morning, O LORD; in the morning will I direct my prayer unto thee, and will look up."
13978,Psalms 5:4,Psalms,19,5,4,94,For thou art not a God that hath pleasure in wickedness: neither shall evil dwell with thee.
13979,Psalms 5:5,Psalms,19,5,5,80,The foolish shall not stand in thy sight: thou hatest all workers of iniquity.
13980,Psalms 5:6,Psalms,19,5,6,95,Thou shalt destroy them that speak leasing: the LORD will abhor the bloody and deceitful man.
13981,Psalms 5:7,Psalms,19,5,7,129,"But as for me, I will come into thy house in the multitude of thy mercy: and in thy fear will I worship toward thy holy temple."
13982,Psalms 5:8,Psalms,19,5,8,102,"Lead me, O LORD, in thy righteousness because of mine enemies; make thy way straight before my face."
