verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
18132,Isaiah 26:1,Isaiah,23,26,1,133,In that day shall this song be sung in the land of Judah; We have a strong city; salvation will God appoint for walls and bulwarks.
18133,Isaiah 26:2,Isaiah,23,26,2,84,"Open ye the gates, that the righteous nation which keepeth the truth may enter in."
18134,Isaiah 26:3,Isaiah,23,26,3,97,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee."
18135,Isaiah 26:4,Isaiah,23,26,4,81,Trust ye in the LORD for ever: for in the LORD JEHOVAH is everlasting strength:
18136,Isaiah 26:5,Isaiah,23,26,5,152,"For he bringeth down them that dwell on high; the lofty city, he layeth it low; he layeth it low, even to the ground; he bringeth it even to the dust."
18137,Isaiah 26:6,Isaiah,23,26,6,86,"The foot shall tread it down, even the feet of the poor, and the steps of the needy."
18141,Isaiah 26:10,Isaiah,23,26,10,169,"Let favour be shewed to the wicked, yet will he not learn righteousness: in the land of uprightness will he deal unjustly, and will not behold the majesty of the LORD."
18142,Isaiah 26:11,Isaiah,23,26,11,169,"LORD, when thy hand is lifted up, they will not see: but they shall see, and be ashamed for their envy at the people; yea, the fire of thine enemies shall devour them."
18143,Isaiah 26:12,Isaiah,23,26,12,86,"LORD, thou wilt ordain peace for us: for thou also hast wrought all our works in us."
18144,Isaiah 26:13,Isaiah,23,26,13,119,"O LORD our God, other lords beside thee have had dominion over us: but by thee only will we make mention of thy name."
18145,Isaiah 26:14,Isaiah,23,26,14,162,"They are dead, they shall not live; they are deceased, they shall not rise: therefore hast thou visited and destroyed them, and made all their memory to perish."
18146,Isaiah 26:15,Isaiah,23,26,15,151,"Thou hast increased the nation, O LORD, thou hast increased the nation: thou art glorified: thou hadst removed it far unto all the ends of the earth."
18147,Isaiah 26:16,Isaiah,23,26,16,102,"LORD, in trouble have they visited thee, they poured out a prayer when thy chastening was upon them."
18148,Isaiah 26:17,Isaiah,23,26,17,152,"Like as a woman with child, that draweth near the time of her delivery, is in pain, and crieth out in her pangs; so have we been in thy sight, O LORD."
18149,Isaiah 26:18,Isaiah,23,26,18,187,"We have been with child, we have been in pain, we have as it were brought forth wind; we have not wrought any deliverance in the earth; neither have the inhabitants of the world fallen."
18150,Isaiah 26:19,Isaiah,23,26,19,185,"Thy dead men shall live, together with my dead body shall they arise. Awake and sing, ye that dwell in dust: for thy dew is as the dew of herbs, and the earth shall cast out the dead."
18151,Isaiah 26:20,Isaiah,23,26,20,159,"Come, my people, enter thou into thy chambers, and shut thy doors about thee: hide thyself as it were for a little moment, until the indignation be overpast."
18152,Isaiah 26:21,Isaiah,23,26,21,182,"For, behold, the LORD cometh out of his place to punish the inhabitants of the earth for their iniquity: the earth also shall disclose her blood, and shall no more cover her slain."
