verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
8604,2 Samuel 22:1,2 Samuel,10,22,1,162,"And David spake unto the LORD the words of this song in the day that the LORD had delivered him out of the hand of all his enemies, and out of the hand of Saul:"
8605,2 Samuel 22:2,2 Samuel,10,22,2,70,"And he said, The LORD is my rock, and my fortress, and my deliverer;"
8606,2 Samuel 22:3,2 Samuel,10,22,3,161,"The God of my rock; in him will I trust: he is my shield, and the horn of my salvation, my high tower, and my refuge, my saviour; thou savest me from violence."
8607,2 Samuel 22:4,2 Samuel,10,22,4,94,"I will call on the LORD, who is worthy to be praised: so shall I be saved from mine enemies."
8608,2 Samuel 22:5,2 Samuel,10,22,5,81,"When the waves of death compassed me, the floods of ungodly men made me afraid;"
8613,2 Samuel 22:10,2 Samuel,10,22,10,76,"He bowed the heavens also, and came down; and darkness was under his feet."
8614,2 Samuel 22:11,2 Samuel,10,22,11,85,"And he rode upon a cherub, and did fly: and he was seen upon the wings of the wind."
8615,2 Samuel 22:12,2 Samuel,10,22,12,93,"And he made darkness pavilions round about him, dark waters, and thick clouds of the skies."
8616,2 Samuel 22:13,2 Samuel,10,22,13,63,Through the brightness before him were coals of fire kindled.
8617,2 Samuel 22:14,2 Samuel,10,22,14,70,"The LORD thundered from heaven, and the most High uttered his voice."
8618,2 Samuel 22:15,2 Samuel,10,22,15,78,"And he sent out arrows, and scattered them; lightning, and discomfited them."
8619,2 Samuel 22:16,2 Samuel,10,22,16,158,"And the channels of the sea appeared, the foundations of the world were discovered, at the rebuking of the LORD, at the blast of the breath of his nostrils."
8620,2 Samuel 22:17,2 Samuel,10,22,17,64,"He sent from above, he took me; he drew me out of many waters;"
8621,2 Samuel 22:18,2 Samuel,10,22,18,101,"He delivered me from my strong enemy, and from them that hated me: for they were too strong for me."
8622,2 Samuel 22:19,2 Samuel,10,22,19,72,They prevented me in the day of my calamity: but the LORD was my stay.
8623,2 Samuel 22:20,2 Samuel,10,22,20,91,"He brought me forth also into a large place: he delivered me, because he delighted in me."
8624,2 Samuel 22:21,2 Samuel,10,22,21,116,The LORD rewarded me according to my righteousness: according to the cleanness of my hands hath he recompensed me.
8625,2 Samuel 22:22,2 Samuel,10,22,22,83,"For I have kept the ways of the LORD, and have not wickedly departed from my God."
8626,2 Samuel 22:23,2 Samuel,10,22,23,92,"For all his judgments were before me: and as for his statutes, I did not depart from them."
8627,2 Samuel 22:24,2 Samuel,10,22,24,73,"I was also upright before him, and have kept myself from mine iniquity."
8628,2 Samuel 22:25,2 Samuel,10,22,25,115,Therefore the LORD hath recompensed me according to my righteousness; according to my cleanness in his eye sight.
8629,2 Samuel 22:26,2 Samuel,10,22,26,109,"With the merciful thou wilt show thyself merciful, and with the upright man thou wilt show thyself upright."
8630,2 Samuel 22:27,2 Samuel,10,22,27,98,With the pure thou wilt show thyself pure; and with the froward thou wilt show thyself unsavory.
8631,2 Samuel 22:28,2 Samuel,10,22,28,113,"And the afflicted people thou wilt save: but thine eyes are upon the haughty, that thou mayest bring them down."
8632,2 Samuel 22:29,2 Samuel,10,22,29,70,"For thou art my lamp, O LORD: and the LORD will lighten my darkness."
8633,2 Samuel 22:30,2 Samuel,10,22,30,78,For by thee I have run through a troop: by my God have I leaped over a wall.
8634,2 Samuel 22:31,2 Samuel,10,22,31,111,"As for God, his way is perfect; the word of the LORD is tried: he is a buckler to all them that trust in him."
8635,2 Samuel 22:32,2 Samuel,10,22,32,65,"For who is God, save the LORD? and who is a rock, save our God?"
8636,2 Samuel 22:33,2 Samuel,10,22,33,61,God is my strength and power: and he maketh my way perfect.
8637,2 Samuel 22:34,2 Samuel,10,22,34,73,He maketh my feet like hinds' feet: and setteth me upon my high places.
8638,2 Samuel 22:35,2 Samuel,10,22,35,77,He teacheth my hands to war; so that a bow of steel is broken by mine arms.
8639,2 Samuel 22:36,2 Samuel,10,22,36,93,Thou hast also given me the shield of thy salvation: and thy gentleness hath made me great.
8640,2 Samuel 22:37,2 Samuel,10,22,37,69,Thou hast enlarged my steps under me; so that my feet did not slip.
8641,2 Samuel 22:38,2 Samuel,10,22,38,98,"I have pursued mine enemies, and destroyed them; and turned not again until I had consumed them."
8642,2 Samuel 22:39,2 Samuel,10,22,39,108,"And I have consumed them, and wounded them, that they could not arise: yea, they are fallen under my feet."
8643,2 Samuel 22:40,2 Samuel,10,22,40,107,For thou hast girded me with strength to battle: them that rose up against me hast thou subdued under me.
8644,2 Samuel 22:41,2 Samuel,10,22,41,92,"Thou hast also given me the necks of mine enemies, that I might destroy them that hate me."
8645,2 Samuel 22:42,2 Samuel,10,22,42,88,"They looked, but there was none to save; even unto the LORD, but he answered them not."
8646,2 Samuel 22:43,2 Samuel,10,22,43,129,"Then did I beat them as small as the dust of the earth, I did stamp them as the mire of the street, and did spread them abroad."
8647,2 Samuel 22:44,2 Samuel,10,22,44,149,"Thou also hast delivered me from the strivings of my people, thou hast kept me to be head of the heathen: a people which I knew not shall serve me."
8648,2 Samuel 22:45,2 Samuel,10,22,45,98,"Strangers shall submit themselves unto me: as soon as they hear, they shall be obedient unto me."
