verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
8025,2 Samuel 1:2,2 Samuel,10,1,2,223,"It came even to pass on the third day, that, behold, a man came out of the camp from Saul with his clothes rent, and earth upon his head: and so it was, when he came to David, that he fell to the earth, and did obeisance."
8042,2 Samuel 1:19,2 Samuel,10,1,19,80,The beauty of Israel is slain upon thy high places: how are the mighty fallen!
8043,2 Samuel 1:20,2 Samuel,10,1,20,160,"Tell it not in Gath, publish it not in the streets of Askelon; lest the daughters of the Philistines rejoice, lest the daughters of the uncircumcised triumph."
8044,2 Samuel 1:21,2 Samuel,10,1,21,229,"Ye mountains of Gilboa, let there be no dew, neither let there be rain, upon you, nor fields of offerings: for there the shield of the mighty is vilely cast away, the shield of Saul, as though he had not been anointed with oil."
8045,2 Samuel 1:22,2 Samuel,10,1,22,137,"From the blood of the slain, from the fat of the mighty, the bow of Jonathan turned not back, and the sword of Saul returned not empty."
8046,2 Samuel 1:23,2 Samuel,10,1,23,164,"Saul and Jonathan were lovely and pleasant in their lives, and in their death they were not divided: they were swifter than eagles, they were stronger than lions."
8047,2 Samuel 1:24,2 Samuel,10,1,24,138,"Ye daughters of Israel, weep over Saul, who clothed you in scarlet, with other delights, who put on ornaments of gold upon your apparel."
8048,2 Samuel 1:25,2 Samuel,10,1,25,105,"How are the mighty fallen in the midst of the battle! O Jonathan, thou wast slain in thine high places."
8049,2 Samuel 1:26,2 Samuel,10,1,26,143,"I am distressed for thee, my brother Jonathan: very pleasant hast thou been unto me: thy love to me was wonderful, passing the love of women."
8050,2 Samuel 1:27,2 Samuel,10,1,27,61,"How are the mighty fallen, and the weapons of war perished!"
