verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
24899,Luke 1:5,Luke,42,1,5,182,"THERE was in the days of Herod, the king of Judaea, a certain priest named Zacharias, of the course of Abia: and his wife was of the daughters of Aaron, and her name was Elisabeth."
24940,Luke 1:46,Luke,42,1,46,47,"And Mary said, My soul doth magnify the Lord,"
24941,Luke 1:47,Luke,42,1,47,48,And my spirit hath rejoiced in God my Saviour.
24942,Luke 1:48,Luke,42,1,48,124,"For he hath regarded the low estate of his handmaiden: for, behold, from henceforth all generations shall call me blessed."
24943,Luke 1:49,Luke,42,1,49,75,For he that is mighty hath done to me great things; and holy is his name.
24944,Luke 1:50,Luke,42,1,50,71,And his mercy is on them that fear him from generation to generation.
24945,Luke 1:51,Luke,42,1,51,103,He hath shewed strength with his arm; he hath scattered the proud in the imagination of their hearts.
24946,Luke 1:52,Luke,42,1,52,79,"He hath put down the mighty from their seats, and exalted them of low degree."
24947,Luke 1:53,Luke,42,1,53,83,He hath filled the hungry with good things; and the rich he hath sent empty away.
24948,Luke 1:54,Luke,42,1,54,65,"He hath holpen his servant Israel, in remembrance of his mercy;"
24949,Luke 1:55,Luke,42,1,55,67,"As he spake to our fathers, to Abraham, and to his seed for ever."
