verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
6625,Judges 5:1,Judges,7,5,1,69,"Then sang Deborah and Barak the son of Abinoam on that day, saying,"
6626,Judges 5:2,Judges,7,5,2,94,"Praise ye the LORD for the avenging of Israel, when the people willingly offered themselves."
6627,Judges 5:3,Judges,7,5,3,125,"Hear, O ye kings; give ear, O ye princes; I, even I, will sing unto the LORD; I will sing praise to the LORD God of Israel."
6628,Judges 5:4,Judges,7,5,4,160,"LORD, when thou wentest out of Seir, when thou marchedst out of the field of Edom, the earth trembled, and the heavens dropped, the clouds also dropped water."
6629,Judges 5:5,Judges,7,5,5,96,"The mountains melted from before the LORD, even that Sinai from before the LORD God of Israel."
6630,Judges 5:6,Judges,7,5,6,135,"In the days of Shamgar the son of Anath, in the days of Jael, the highways were unoccupied, and the travellers walked through byways."
6631,Judges 5:7,Judges,7,5,7,125,"The inhabitants of the villages ceased, they ceased in Israel, until that I Deborah arose, that I arose a mother in Israel."
6632,Judges 5:8,Judges,7,5,8,114,They chose new gods; then was war in the gates: was there a shield or spear seen among forty thousand in Israel?
6633,Judges 5:9,Judges,7,5,9,116,"My heart is toward the governors of Israel, that offered themselves willingly among the people. Bless ye the LORD."
6634,Judges 5:10,Judges,7,5,10,83,"Speak, ye that ride on white asses, ye that sit in judgment, and walk by the way."
6635,Judges 5:11,Judges,7,5,11,271,"They that are delivered from the noise of archers in the places of drawing water, there shall they rehearse the righteous acts of the LORD, even the righteous acts toward the inhabitants of his villages in Israel: then shall the people of the LORD go down to the gates."
6636,Judges 5:12,Judges,7,5,12,119,"Awake, awake, Deborah: awake, awake, utter a song: arise, Barak, and lead thy captivity captive, thou son of Abinoam."
6637,Judges 5:13,Judges,7,5,13,129,Then he made him that remaineth have dominion over the nobles among the people: the LORD made me have dominion over the mighty.
6638,Judges 5:14,Judges,7,5,14,191,"Out of Ephraim was there a root of them against Amalek; after thee, Benjamin, among thy people; out of Machir came down governors, and out of Zebulun they that handle the pen of the writer."
6639,Judges 5:15,Judges,7,5,15,180,"And the princes of Issachar were with Deborah; even Issachar, and also Barak: he was sent on foot into the valley. For the divisions of Reuben there were great thoughts of heart."
6640,Judges 5:16,Judges,7,5,16,143,"Why abodest thou among the sheepfolds, to hear the bleatings of the flocks? For the divisions of Reuben there were great searchings of heart."
6641,Judges 5:17,Judges,7,5,17,123,"Gilead abode beyond Jordan: and why did Dan remain in ships? Asher continued on the sea shore, and abode in his breaches."
6642,Judges 5:18,Judges,7,5,18,111,Zebulun and Naphtali were a people that jeoparded their lives unto the death in the high places of the field.
6643,Judges 5:19,Judges,7,5,19,125,"The kings came and fought, then fought the kings of Canaan in Taanach by the waters of Megiddo; they took no gain of money."
6644,Judges 5:20,Judges,7,5,20,76,They fought from heaven; the stars in their courses fought against Sisera.
6645,Judges 5:21,Judges,7,5,21,120,"The river of Kishon swept them away, that ancient river, the river Kishon. O my soul, thou hast trodden down strength."
6646,Judges 5:22,Judges,7,5,22,100,"Then were the horsehoofs broken by the means of the pransings, the pransings of their mighty ones."
6647,Judges 5:23,Judges,7,5,23,179,"Curse ye Meroz, said the angel of the LORD, curse ye bitterly the inhabitants thereof; because they came not to the help of the LORD, to the help of the LORD against the mighty."
6648,Judges 5:24,Judges,7,5,24,111,"Blessed above women shall Jael the wife of Heber the Kenite be, blessed shall she be above women in the tent."
6649,Judges 5:25,Judges,7,5,25,83,"He asked water, and she gave him milk; she brought forth butter in a lordly dish."
6650,Judges 5:26,Judges,7,5,26,192,"She put her hand to the nail, and her right hand to the workmen's hammer; and with the hammer she smote Sisera, she smote off his head, when she had pierced and stricken through his temples."
6651,Judges 5:27,Judges,7,5,27,117,"At her feet he bowed, he fell, he lay down: at her feet he bowed, he fell: where he bowed, there he fell down dead."
6652,Judges 5:28,Judges,7,5,28,153,"The mother of Sisera looked out at a window, and cried through the lattice, Why is his chariot so long in coming? why tarry the wheels of his chariots?"
6653,Judges 5:29,Judges,7,5,29,68,"Her wise ladies answered her, yea, she returned answer to herself,"
6654,Judges 5:30,Judges,7,5,30,251,"Have they not sped? have they not divided the prey; to every man a damsel or two; to Sisera a prey of divers colors, a prey of divers colors of needlework, of divers colors of needlework on both sides, meet for the necks of them that take the spoil?"
6655,Judges 5:31,Judges,7,5,31,152,"So let all thine enemies perish, O LORD: but let them that love him be as the sun when he goeth forth in his might. And the land had rest forty years."
