verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
5760,Deuteronomy 32:1,Deuteronomy,5,32,1,85,"Give ear, O ye heavens, and I will speak; and hear, O earth, the words of my mouth."
5761,Deuteronomy 32:2,Deuteronomy,5,32,2,147,"My doctrine shall drop as the rain, my speech shall distil as the dew, as the small rain upon the tender herb, and as the showers upon the grass:"
5762,Deuteronomy 32:3,Deuteronomy,5,32,3,81,Because I will publish the name of the LORD: ascribe ye greatness unto our God.
5763,Deuteronomy 32:4,Deuteronomy,5,32,4,128,"He is the Rock, his work is perfect: for all his ways are judgment: a God of truth and without iniquity, just and right is he."
5769,Deuteronomy 32:10,Deuteronomy,5,32,10,143,"He found him in a desert land, and in the waste howling wilderness; he led him about, he instructed him, he kept him as the apple of his eye."
5770,Deuteronomy 32:11,Deuteronomy,5,32,11,130,"As an eagle stirreth up her nest, fluttereth over her young, spreadeth abroad her wings, taketh them, beareth them on her wings:"
5771,Deuteronomy 32:12,Deuteronomy,5,32,12,72,"So the LORD alone did lead him, and there was no strange god with him."
5772,Deuteronomy 32:13,Deuteronomy,5,32,13,176,"He made him ride on the high places of the earth, that he might eat the increase of the fields; and he made him to suck honey out of the rock, and oil out of the flinty rock;"
5773,Deuteronomy 32:14,Deuteronomy,5,32,14,183,"Butter of kine, and milk of sheep, with fat of lambs, and rams of the breed of Bashan, and goats, with the fat of kidneys of wheat; and thou didst drink the pure blood of the grape."
5774,Deuteronomy 32:15,Deuteronomy,5,32,15,194,"But Jeshurun waxed fat, and kicked: thou art waxen fat, thou art grown thick, thou art covered with fatness; then he forsook God which made him, and lightly esteemed the Rock of his salvation."
5775,Deuteronomy 32:16,Deuteronomy,5,32,16,96,"They provoked him to jealousy with strange gods, with abominations provoked they him to anger."
5776,Deuteronomy 32:17,Deuteronomy,5,32,17,132,"They sacrificed unto devils, not to God; to gods whom they knew not, to new gods that came newly up, whom your fathers feared not."
5777,Deuteronomy 32:18,Deuteronomy,5,32,18,90,"Of the Rock that begat thee thou art unmindful, and hast forgotten God that formed thee."
5778,Deuteronomy 32:19,Deuteronomy,5,32,19,105,"And when the LORD saw it, he abhorred them, because of the provoking of his sons, and of his daughters."
5779,Deuteronomy 32:20,Deuteronomy,5,32,20,151,"And he said, I will hide my face from them, I will see what their end shall be: for they are a very froward generation, children in whom is no faith."
5780,Deuteronomy 32:21,Deuteronomy,5,32,21,232,They have moved me to jealousy with that which is not God; they have provoked me to anger with their vanities: and I will move them to jealousy with those which are not a people; I will provoke them to anger with a foolish nation.
5781,Deuteronomy 32:22,Deuteronomy,5,32,22,172,"For a fire is kindled in mine anger, and shall burn unto the lowest hell, and shall consume the earth with her increase, and set on fire the foundations of the mountains."
5782,Deuteronomy 32:23,Deuteronomy,5,32,23,70,I will heap mischiefs upon them; I will spend mine arrows upon them.
5783,Deuteronomy 32:24,Deuteronomy,5,32,24,184,"They shall be burnt with hunger, and devoured with burning heat, and with bitter destruction: I will also send the teeth of beasts upon them, with the poison of serpents of the dust."
5784,Deuteronomy 32:25,Deuteronomy,5,32,25,134,"The sword without, and terror within, shall destroy both the young man and the virgin, the suckling also with the man of gray hairs."
