verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
1922,Exodus 15:1,Exodus,2,15,1,202,"Then sang Moses and the children of Israel this song unto the LORD, and spake, saying, I will sing unto the LORD, for he hath triumphed gloriously: the horse and his rider hath he thrown into the sea."
1923,Exodus 15:2,Exodus,2,15,2,157,"The LORD is my strength and song, and he is become my salvation: he is my God, and I will prepare him an habitation; my father's God, and I will exalt him."
1931,Exodus 15:10,Exodus,2,15,10,94,"Thou didst blow with thy wind, the sea covered them: they sank as lead in the mighty waters."
1932,Exodus 15:11,Exodus,2,15,11,123,"Who is like unto thee, O LORD, among the gods? who is like thee, glorious in holiness, fearful in praises, doing wonders?"
1933,Exodus 15:12,Exodus,2,15,12,64,"Thou stretchedst out thy right hand, the earth swallowed them."
1934,Exodus 15:13,Exodus,2,15,13,135,Thou in thy mercy hast led forth the people which thou hast redeemed: thou hast guided them in thy strength unto thy holy habitation.
1935,Exodus 15:14,Exodus,2,15,14,95,"The people shall hear, and be afraid: sorrow shall take hold on the inhabitants of Palestina."
1936,Exodus 15:15,Exodus,2,15,15,149,"Then the dukes of Edom shall be amazed; the mighty men of Moab, trembling shall take hold upon them; all the inhabitants of Canaan shall melt away."
1937,Exodus 15:16,Exodus,2,15,16,192,"Fear and dread shall fall upon them; by the greatness of thine arm they shall be as still as a stone; till thy people pass over, O LORD, till the people pass over, which thou hast purchased."
1938,Exodus 15:17,Exodus,2,15,17,205,"Thou shalt bring them in, and plant them in the mountain of thine inheritance, in the place, O LORD, which thou hast made for thee to dwell in, in the Sanctuary, O LORD, which thy hands have established."
1939,Exodus 15:18,Exodus,2,15,18,41,The LORD shall reign for ever and ever.
1940,Exodus 15:19,Exodus,2,15,19,217,"For the horse of Pharaoh went in with his chariots and with his horsemen into the sea, and the LORD brought again the waters of the sea upon them; but the children of Israel went on dry land in the midst of the sea."
1941,Exodus 15:20,Exodus,2,15,20,145,"And Miriam the prophetess, the sister of Aaron, took a timbrel in her hand; and all the women went out after her with timbrels and with dances."
1942,Exodus 15:21,Exodus,2,15,21,135,"And Miriam answered them, Sing ye to the LORD, for he hath triumphed gloriously; the horse and his rider hath he thrown into the sea."
