verse_id,citation,book_name,book_number,chapter_number,verse_number,length_chars,text
24901,Luke 1:7,Luke,42,1,7,106,"And they had no child, because that Elisabeth was barren, and they both were now well stricken in years."
24962,Luke 1:68,Luke,42,1,68,81,"Blessed be the Lord God of Israel; for he hath visited and redeemed his people,"
24963,Luke 1:69,Luke,42,1,69,83,And hath raised up an horn of salvation for us in the house of his servant David;
24964,Luke 1:70,Luke,42,1,70,87,"As he spake by the mouth of his holy prophets, which have been since the world began:"
24965,Luke 1:71,Luke,42,1,71,82,"That we should be saved from our enemies, and from the hand of all that hate us;"
24966,Luke 1:72,Luke,42,1,72,82,"To perform the mercy promised to our fathers, and to remember his holy covenant;"
24967,Luke 1:73,Luke,42,1,73,48,"The oath which he sware to our father Abraham,"
24968,Luke 1:74,Luke,42,1,74,115,"That he would grant unto us, that we being delivered out of the hand of our enemies might serve him without fear,"
24969,Luke 1:75,Luke,42,1,75,69,"In holiness and righteousness before him, all the days of our life."
24970,Luke 1:76,Luke,42,1,76,129,"And thou, child, shalt be called the prophet of the Highest: for thou shalt go before the face of the Lord to prepare his ways;"
24971,Luke 1:77,Luke,42,1,77,80,"To give knowledge of salvation unto his people by the remission of their sins,"
24972,Luke 1:78,Luke,42,1,78,90,"Through the tender mercy of our God; whereby the dayspring from on high hath visited us,"
24973,Luke 1:79,Luke,42,1,79,113,"To give light to them that sit in darkness and in the shadow of death, to guide our feet into the way of peace."
