page_number,url,text
1,https://hymnary.org/page/fetch/SSSH1989/1/high,"Jesus, I My Cross Have Taken 1 HENRY F LYTE Ascribed to WOLFGANG A. MOZART Arr. by Hubert P. Main [NEWLINE] 1. Je sus, 1 my cross have tak en, All to leave, and fol low Thee; 2. Let the world de spise and leave me, They have left my Sav iour, too; 3. Man   may trouble and distress me, 'Twill but drive me t0 Thy breast; 4. Haste thee on from  grace to glo ry, Armed by faith, and winged by pray'r; [NEWLINE] 4 Des titute, de spised, forsak en, Thou from hence , my all shall be. Hu man hearts and looks deceive me, Thou art not, like man, un true. Life with tri als hard may press me, Heav 'n will bring me sweeter rest, Heav'n S eter nal day"" S before thee, God '$ own hand  shall guide thee there . [NEWLINE] #XVV| Per ish ev 'ry fond ambi tion, AlI [ve sought, and hoped, and known; And, while Thou shalt smile upon me, God of wis dom, love, and might, 0 tis not in grief to harm me, While Thy love is left to me; Soon   shall close thy earthly mis sion, Swift shall pass   thy pil grim days, [NEWLINE] Yet how rich is my condi tion, God and Heav'n are still my own! Foes may hate, and friends may shun me; Show Thy face, and all is bright. 0 twere not in joy to charm me, Were that joy un mixed with Thee. Hope shall change to glad fru tion, Faith to   sight, and pray r t0 praise. [NEWLINE] Favorite song of Dr. John R; Rice and Dr. Arthur DeMoss."
2,https://hymnary.org/page/fetch/SSSH1989/2/high,"Glory to His Name ELISHA A. HOFFMAN JOHN H. STOCKTON [NEWLINE] 1_ Down at the cross   where my Sav iour died, Down where  for cleansing from 2. 1 am So won drously saved from sin; Je sus SO sweet ly a 3_ 0 precious fountain that saves from sin; I am SO glad 1have 4. Cometo this foun tain SO rich and sweet; Cast thy poor soul at the [NEWLINE] BE sin [ cried, There to my heart was the   blood applied; Glo ry to His bides within, There at the cross where He took me in; Glo ry to His entered  in; There Je suS saves me and keeps  me clean; Glo ry t0 His Saviour'$ feet; Plunge in to day and be made complete; Glo Ty to His [NEWLINE] name [NEWLINE] Glo ry to His name, [NEWLINE] Glo ry to His name; [NEWLINE] There to my heart was the blood applied; Glo ry to His name."
3,https://hymnary.org/page/fetch/SSSH1989/3/high,"Jesus Paid It AlI ELVINA M HALL [NEWLINE] JOHN T. GRAPE [NEWLINE] hear the Saviour say, ""Thy strength indeed is small, Child of 2 Lord, now in deed [ find Thy pow'r, and Thine a lone, Can 3 For noth ing"" good have [ Whereby Thy grace to  claim FI 4. And when, before the   throne, [ stand in Him complete, ~Je suS [NEWLINE] weak ness, watch and pray, Find   in Me thine all in all:' change the leper' $ spots, And melt the   heart of stone wash my garments   white In the blood of Calv'ry'$ Lamb. died my soul to save, My lips shall still re peat: [NEWLINE] Je [NEWLINE] suS [NEWLINE] paid it all, [NEWLINE] All [NEWLINE] to Him [ owe; [NEWLINE] Sin had left a crim son stain, He washed it white as snow"
4,https://hymnary.org/page/fetch/SSSH1989/4/high,"The Way of the Cross Leads Home JESSIE B. POUNDS CHARLES H. GABRIEL [NEWLINE] 1. must needs go Home   by the way of the cross, There' $ no oth er 2. [ must needs go on in the bloodsprinkled way, The path that   the 3. Then [ bid fare well to the way of the world, To walk in it [NEWLINE] way but this; Sav iour trod, nev er more; [NEWLINE] shall ne'er get sight of the Gates of Light,  If the If 1 ev er climb to the heights sublime, Where the For my Lord says, ""Come;' and [ seek my Home, Where He [NEWLINE] way of the cross miss. soul is at Home with God. waits at the pen door: [NEWLINE] The way of the cross   leads [NEWLINE] Home, The way of the cross   leads Home; It is leads Home, leads Home;"
5,https://hymnary.org/page/fetch/SSSH1989/5/high,"ZlA3 sweet to know as on ward g0, The way of the cross leads   Home [NEWLINE] When I Survey the Wondrous Cross 5 ISAAC WATTS Arranged by Lowell Mason [NEWLINE] L. When 1 sur vey the 2_ For bid it, Lord! that 3. See, from His head, His 4. Were the whole realm of [NEWLINE] won [NEWLINE] drous crosS, On which the 1 should boast; Save in the hands, His feet, Sor row and na ture mine, That were a [NEWLINE] Prince of Glo ry died, death of Christ my God: love flow min gled down: pres ent far too small; [NEWLINE] My rich est gain AII the vain things that Did e'er such love and Love SO a maz ing; [NEWLINE] count but charm me [NEWLINE] loss, And pour con tempt on all my pride. most, 1 sac ri fice them to His blood . sor row meet, Or thorns compose So rich a crown? So di vine, Demands my soul, my life, my all. [NEWLINE] Favorite song of Dr. Bill Rice and composer John W. Peterson."
6,https://hymnary.org/page/fetch/SSSH1989/6/high,"Beneath the Cross 0f Jesus [NEWLINE] ELIZABETH C. CLEPHANE [NEWLINE] FREDERICK C MAKER [NEWLINE] 1. Beneath the cross of Je suS 1 fain would take my stand, The 2, Up _ on that cross of Je sus Mine eye at times can see The 3. [ take, 0 cross, thy  shad ow For my abid ing place; 1 [NEWLINE] shad Ow of a mighty Rock With in a wea ry land; A ver y dy ing form of One Who suf fered  there for me; And ask no oth er sunshine than  The sun shine of His face; Con [NEWLINE] pH [NEWLINE] home   within the wil derness, A rest up on the way, From the from my smitten heart with tears, Two won ders I confess: The tent to let the world go by, To know no gain nor loss, My [NEWLINE] burn ing of the noontide   heat, And the bur den of the day: won ders of His glorious love, And my own worthless ness. sin ful   self my on ly  shame, My glo ry all the cross!"
7,https://hymnary.org/page/fetch/SSSH1989/7/high,"I Gave My Life for Thee FRANCES R. HA VERGAL PHILIP P. BLISS [NEWLINE] 1,[ gave my   life for thee, 2 My Father's house of light, 3. [ suffered much for thee, 4_ And [ have brought to thee, [NEWLINE] My precious blood [ shed, That My glo Ty cir cled  throne I More than thy tongue can tell, Of Down from My Home a bove, Sal [NEWLINE] thou   might'st   ransomed be, left for earth ly night; bit t'rest ag ny, va tion full and free, [NEWLINE] And quickened from the dead; For wand rings sad and lone; To res cue thee from   Hell; Fve My par don and My love; 1 [NEWLINE] gave, gave My life for thee, What   hast thou giv'n for Me? left;, left it all for thee, Hast thou left aught for Me? borne, I've borne it all for thee, What   hast thou borne for Me? [ve bring, I bring rich gifts to thee, What  hast thou brought to Me? 1 [NEWLINE] gave, gave My life for thee, What hast thou giv 'n for Me? left, left it all for thee, Hast thou left aught for Me? borne, I 've borne it all for thee, What hast thou borne for Me? bring; 1 bring rich gifts to thee, What hast thou brought tO Me? [NEWLINE] JE"
8,https://hymnary.org/page/fetch/SSSH1989/8/high,[This image is under copyright]
9,https://hymnary.org/page/fetch/SSSH1989/9/high,[This image is under copyright]
10,https://hymnary.org/page/fetch/SSSH1989/10/high,"Near the Cross [NEWLINE] FANNY J. CROSBY [NEWLINE] WILLIAM H. DOANE [NEWLINE] 1. Je suS, keep me near the cross, There a pre cious foun tain 2 Near the cross, a trem bling soul; Love and mer cy found me; 3. Near the cross! 0 Lamb of God, Bring its scenes be fore me; 4. Near the cross PII watch and wait, Hop ing; trust ing ev er, [NEWLINE] Free to all a heal ing stream , Flows   from Cal v'ry'$ moun tain. There the Bright and Mom ing Star Sheds its beams a round me Help me walk from day to day, With its shad owS 0 er me_ Till reach the gold en strand Just beyond the riv er. [NEWLINE] In the cross, in the cross, Be my glo Ty ev er; [NEWLINE] EX [NEWLINE] Till my   rap tured   soul shall  find [NEWLINE] Rest be yond the riv er:"
